 GEFY-10.1  SPONTANEOUS FISSION PRODUCT YIELDS FILE June 2025     3690 0  0    0
 9.925000+4 2.479303+2         -1          1         99          13690 1451    1
 0.000000+0 1.000000+0          0          0          0          63690 1451    2
 0.000000+0 0.000000+0          1          0          5          13690 1451    3
 0.000000+0 0.000000+0          0          0         35          33690 1451    4
 99-Es-250 CENBG      EVAL-JUN25 K.H.SCHMIDT                      3690 1451    5
                      DIST-AUG11 DIST-JUN25                       3690 1451    6
----GEFY-10.1         MATERIAL 3690                               3690 1451    7
-----SPONTANEOUS FISSION PRODUCT YIELDS                           3690 1451    8
------ENDF-6 FORMAT                                               3690 1451    9
******************************************************************3690 1451   10
**  Fission yields obtained with the GEF code, version 2025/1.2 **3690 1451   11
** Isomers and cumul. yields based on JEFF3.3 decay data file   **3690 1451   12
*Developed 2009-2025                                             *3690 1451   13
*2019-2025   ** Karl-Heinz Schmidt, Beatriz Jurado, Kilian Kern **3690 1451   14
******************************************************************3690 1451   15
 The development of the GEF code has been supported by the        3690 1451   16
 European Union (EFNUDAT, ERINDA and CHANDA) and the              3690 1451   17
 OECD Nuclear Energy Agency (2010-2016)                           3690 1451   18
                                                                  3690 1451   19
 The authors, the European Union and the Nuclear Energy Agency    3690 1451   20
 cannot accept responsibility for loss occasioned to any          3690 1451   21
 person for the use of, or reliance upon, the information         3690 1451   22
 contained in the data or its completeness or accuracy.           3690 1451   23
                                                                  3690 1451   24
 References:                                                      3690 1451   25
 - K.-H. Schmidt and B. Jurado                                    3690 1451   26
   Entropy-driven excitation-energy sorting in superfluid fission 3690 1451   27
   dynamics, Phys. Rev. Lett. 104 (2010) 212501                   3690 1451   28
 - K.-H. Schmidt and B. Jurado                                    3690 1451   29
   Thermodynamics of nuclei in thermal contact                    3690 1451   30
   Phys. Rev. C 83 (2011) 014607                                  3690 1451   31
 - K.-H. Schmidt, B. Jurado, Ch. Amouroux                         3690 1451   32
   General Description of Fission Observables - GEF Model         3690 1451   33
   JEFF Report 24, Nucl. Energy Agency of the OECD, June 2014     3690 1451   34
 - K.-H. Schmidt, B. Jurado, Ch. Amouroux, Ch. Schmitt            3690 1451   35
   General Description of Fission Observables: GEF Model Code     3690 1451   36
   Nucl. Data Sheets 131 (2016) 107-221                           3690 1451   37
 - See also http://www.cenbg.in2p3.fr/GEF                         3690 1451   38
                                                                  3690 1451   39
                                1        451         42          03690 1451   40
                                8        454        517          03690 1451   41
                                8        459        553          03690 1451   42
 0.000000+0 0.000000+0          0          0          0          03690 1  099999
                                                                  3690 0  0    0
 9.925000+4 2.479303+2          1          0          0          03690 8454    1
 0.000000+0 0.000000+0          0          0       3088        7723690 8454    2
 3.007200+4 0.000000+0 2.999999-7 2.999999-7 3.007300+4 0.000000+03690 8454    3
 2.399999-7 2.399999-7 3.007300+4 1.000000+0 7.999998-8 7.999998-83690 8454    4
 3.007300+4 2.000000+0 7.999998-8 7.999998-8 3.007400+4 0.000000+03690 8454    5
 4.999999-7 4.999999-7 3.007500+4 0.000000+0 3.999999-7 3.999999-73690 8454    6
 3.007600+4 0.000000+0 9.999997-7 9.999997-7 3.007700+4 0.000000+03690 8454    7
 3.999999-7 3.999999-7 3.007700+4 1.000000+0 0.000000+0 0.000000+03690 8454    8
 3.007800+4 0.000000+0 6.999998-7 6.999998-7 3.107400+4 0.000000+03690 8454    9
 2.249999-7 2.249999-7 3.107400+4 1.000000+0 7.499998-8 7.499998-83690 8454   10
 3.107500+4 0.000000+0 1.700000-6 1.700000-6 3.107600+4 0.000000+03690 8454   11
 1.999999-6 1.999999-6 3.107700+4 0.000000+0 3.199999-6 3.199999-63690 8454   12
 3.107800+4 0.000000+0 3.099999-6 3.099999-6 3.107900+4 0.000000+03690 8454   13
 4.199999-6 4.199999-6 3.108000+4 0.000000+0 1.999999-6 1.999999-63690 8454   14
 3.108100+4 0.000000+0 6.999998-7 6.999998-7 3.207500+4 0.000000+03690 8454   15
 2.000000-7 2.000000-7 3.207500+4 1.000000+0 9.999998-8 9.999998-83690 8454   16
 3.207600+4 0.000000+0 8.999998-7 8.999998-7 3.207700+4 0.000000+03690 8454   17
 3.919999-6 3.919999-6 3.207700+4 1.000000+0 9.799998-7 9.799998-73690 8454   18
 3.207800+4 0.000000+0 1.110000-5 1.110000-5 3.207900+4 0.000000+03690 8454   19
 1.340000-5 1.099658-5 3.207900+4 1.000000+0 6.699998-6 5.498290-63690 8454   20
 3.208000+4 0.000000+0 2.759999-5 1.921804-5 3.208100+4 0.000000+03690 8454   21
 1.680000-5 1.379708-5 3.208100+4 1.000000+0 1.300000-6 1.067631-63690 8454   22
 3.208200+4 0.000000+0 5.399999-6 5.399999-6 3.208300+4 0.000000+03690 8454   23
 4.999999-7 4.999999-7 3.307600+4 0.000000+0 2.999999-7 2.999999-73690 8454   24
 3.307700+4 0.000000+0 1.999999-7 1.999999-7 3.307800+4 0.000000+03690 8454   25
 4.999999-7 4.999999-7 3.307900+4 0.000000+0 3.499999-6 3.499999-63690 8454   26
 3.308000+4 0.000000+0 1.390000-5 1.390000-5 3.308100+4 0.000000+03690 8454   27
 3.169999-5 2.091130-5 3.308200+4 0.000000+0 3.054563-5 1.942756-53690 8454   28
 3.308200+4 1.000000+0 8.354360-6 5.313520-6 3.308300+4 0.000000+03690 8454   29
 2.399999-5 1.532015-5 3.308400+4 0.000000+0 7.192659-6 7.192659-63690 8454   30
 3.308400+4 1.000000+0 2.607339-6 2.607339-6 3.308500+4 0.000000+03690 8454   31
 2.199999-6 2.199999-6 3.308600+4 0.000000+0 1.999999-7 1.999999-73690 8454   32
 3.407900+4 0.000000+0 1.999999-7 1.999999-7 3.407900+4 1.000000+03690 8454   33
 1.999999-7 1.999999-7 3.408000+4 0.000000+0 3.199999-6 3.199999-63690 8454   34
 3.408100+4 0.000000+0 1.180000-5 1.106209-5 3.408100+4 1.000000+03690 8454   35
 8.699998-6 8.155950-6 3.408200+4 0.000000+0 6.479998-5 3.441561-53690 8454   36
 3.408300+4 0.000000+0 8.262456-5 3.297694-5 3.408300+4 1.000000+03690 8454   37
 2.897541-5 1.156460-5 3.408400+4 0.000000+0 1.397000-4 4.942129-53690 8454   38
 3.408500+4 0.000000+0 7.749998-5 3.744504-5 3.408600+4 0.000000+03690 8454   39
 3.479999-5 2.096148-5 3.408700+4 0.000000+0 9.499998-6 9.499998-63690 8454   40
 3.408800+4 0.000000+0 1.900000-6 1.900000-6 3.408900+4 0.000000+03690 8454   41
 1.999999-7 1.999999-7 3.409000+4 0.000000+0 1.999999-7 1.999999-73690 8454   42
 3.508100+4 0.000000+0 7.999998-7 7.999998-7 3.508200+4 0.000000+03690 8454   43
 1.870666-6 1.870666-6 3.508200+4 1.000000+0 4.229332-6 4.229332-63690 8454   44
 3.508300+4 0.000000+0 2.989999-5 2.174229-5 3.508400+4 0.000000+03690 8454   45
 9.070099-5 3.767686-5 3.508400+4 1.000000+0 1.059898-5 4.402777-63690 8454   46
 3.508500+4 0.000000+0 2.017999-4 7.297951-5 3.508600+4 0.000000+03690 8454   47
 2.252999-4 6.442440-5 3.508700+4 0.000000+0 1.769000-4 5.890198-53690 8454   48
 3.508800+4 0.000000+0 9.589998-5 4.200276-5 3.508900+4 0.000000+03690 8454   49
 3.569999-5 2.170765-5 3.509000+4 0.000000+0 1.140000-5 1.140000-53690 8454   50
 3.509100+4 0.000000+0 1.300000-6 1.300000-6 3.608200+4 0.000000+03690 8454   51
 2.999999-7 2.999999-7 3.608300+4 0.000000+0 1.506896-6 1.506896-63690 8454   52
 3.608300+4 1.000000+0 7.931033-7 7.931033-7 3.608400+4 0.000000+03690 8454   53
 1.650000-5 1.650000-5 3.608500+4 0.000000+0 5.368660-5 2.686077-53690 8454   54
 3.608500+4 1.000000+0 1.661338-5 8.312099-6 3.608600+4 0.000000+03690 8454   55
 2.714999-4 9.668755-5 3.608700+4 0.000000+0 4.355999-4 1.139654-43690 8454   56
 3.608800+4 0.000000+0 5.995998-4 1.416263-4 3.608900+4 0.000000+03690 8454   57
 5.490999-4 1.187192-4 3.609000+4 0.000000+0 3.457999-4 8.198890-53690 8454   58
 3.609100+4 0.000000+0 1.522000-4 4.986850-5 3.609200+4 0.000000+03690 8454   59
 5.069999-5 2.436589-5 3.609300+4 0.000000+0 1.040000-5 1.040000-53690 8454   60
 3.609400+4 0.000000+0 1.500000-6 1.500000-6 3.708500+4 0.000000+03690 8454   61
 7.999998-7 7.999998-7 3.708600+4 0.000000+0 8.692172-6 8.692172-63690 8454   62
 3.708600+4 1.000000+0 1.507826-6 1.507826-6 3.708700+4 0.000000+03690 8454   63
 8.009998-5 4.006295-5 3.708800+4 0.000000+0 2.241999-4 7.915435-53690 8454   64
 3.708900+4 0.000000+0 5.725999-4 1.486912-4 3.709000+4 0.000000+03690 8454   65
 3.561199-4 6.435586-5 3.709000+4 1.000000+0 5.461799-4 9.870235-53690 8454   66
 3.709100+4 0.000000+0 1.032300-3 1.516170-4 3.709200+4 0.000000+03690 8454   67
 8.629998-4 1.468861-4 3.709300+4 0.000000+0 4.859999-4 8.920387-53690 8454   68
 3.709400+4 0.000000+0 1.859000-4 5.515551-5 3.709500+4 0.000000+03690 8454   69
 5.389999-5 2.746899-5 3.709600+4 0.000000+0 9.415382-6 8.756656-63690 8454   70
 3.709600+4 1.000000+0 2.584615-6 2.403788-6 3.709700+4 0.000000+03690 8454   71
 1.300000-6 1.300000-6 3.808700+4 0.000000+0 1.911764-6 1.911764-63690 8454   72
 3.808700+4 1.000000+0 6.882352-7 6.882352-7 3.808800+4 0.000000+03690 8454   73
 2.369999-5 2.123366-5 3.808900+4 0.000000+0 1.120000-4 6.050293-53690 8454   74
 3.809000+4 0.000000+0 4.996999-4 1.404106-4 3.809100+4 0.000000+03690 8454   75
 1.125700-3 2.293908-4 3.809200+4 0.000000+0 2.268799-3 3.122710-43690 8454   76
 3.809300+4 0.000000+0 2.642999-3 2.364069-4 3.809400+4 0.000000+03690 8454   77
 2.686099-3 2.304946-4 3.809500+4 0.000000+0 1.549900-3 2.222562-43690 8454   78
 3.809600+4 0.000000+0 7.354998-4 1.358360-4 3.809700+4 0.000000+03690 8454   79
 2.220999-4 6.783073-5 3.809800+4 0.000000+0 5.579999-5 2.776452-53690 8454   80
 3.809900+4 0.000000+0 9.499998-6 9.499998-6 3.810000+4 0.000000+03690 8454   81
 2.999999-7 2.999999-7 3.908900+4 0.000000+0 1.425000-6 1.425000-63690 8454   82
 3.908900+4 1.000000+0 4.749999-7 4.749999-7 3.909000+4 0.000000+03690 8454   83
 1.083471-5 1.083471-5 3.909000+4 1.000000+0 6.652891-7 6.652891-73690 8454   84
 3.909100+4 0.000000+0 6.979998-5 3.026177-5 3.909100+4 1.000000+03690 8454   85
 3.099999-5 1.344004-5 3.909200+4 0.000000+0 4.066999-4 1.319433-43690 8454   86
 3.909300+4 0.000000+0 1.047366-3 2.314438-4 3.909300+4 1.000000+03690 8454   87
 4.001338-4 8.842039-5 3.909400+4 0.000000+0 3.027699-3 4.088769-43690 8454   88
 3.909500+4 0.000000+0 5.093299-3 3.995410-4 3.909600+4 0.000000+03690 8454   89
 4.980576-3 2.869936-4 3.909600+4 1.000000+0 1.730230-4 9.970029-63690 8454   90
 3.909700+4 0.000000+0 2.870872-3 2.644934-4 3.909700+4 1.000000+03690 8454   91
 1.166327-3 1.074537-4 3.909700+4 2.000000+0 0.000000+0 0.000000+03690 8454   92
 3.909800+4 0.000000+0 1.631773-3 2.122886-4 3.909800+4 1.000000+03690 8454   93
 5.582262-4 7.262347-5 3.909900+4 0.000000+0 9.422998-4 1.906931-43690 8454   94
 3.910000+4 0.000000+0 2.512999-4 6.980607-5 3.910000+4 1.000000+03690 8454   95
 0.000000+0 0.000000+0 3.910100+4 0.000000+0 4.299999-5 2.585585-53690 8454   96
 3.910200+4 0.000000+0 6.399998-6 6.399998-6 3.910200+4 1.000000+03690 8454   97
 0.000000+0 0.000000+0 3.910300+4 0.000000+0 4.999999-7 4.999999-73690 8454   98
 4.009100+4 0.000000+0 1.400000-6 1.400000-6 4.009200+4 0.000000+03690 8454   99
 2.169999-5 1.675612-5 4.009300+4 0.000000+0 1.489000-4 6.745472-53690 8454  100
 4.009400+4 0.000000+0 7.983998-4 2.656689-4 4.009500+4 0.000000+03690 8454  101
 2.570299-3 5.760389-4 4.009600+4 0.000000+0 6.797398-3 8.738823-43690 8454  102
 4.009700+4 0.000000+0 9.843097-3 6.211165-4 4.009800+4 0.000000+03690 8454  103
 1.188340-2 4.348925-4 4.009900+4 0.000000+0 8.817598-3 6.707194-43690 8454  104
 4.010000+4 0.000000+0 6.073598-3 6.977530-4 4.010100+4 0.000000+03690 8454  105
 2.479199-3 4.219265-4 4.010200+4 0.000000+0 7.770998-4 1.709650-43690 8454  106
 4.010300+4 0.000000+0 1.607000-4 5.689569-5 4.010400+4 0.000000+03690 8454  107
 2.139999-5 1.444040-5 4.010500+4 0.000000+0 2.899999-6 2.899999-63690 8454  108
 4.109300+4 0.000000+0 2.999999-7 2.999999-7 4.109300+4 1.000000+03690 8454  109
 2.999999-7 2.999999-7 4.109400+4 0.000000+0 3.040650-6 3.040650-63690 8454  110
 4.109400+4 1.000000+0 7.959348-6 7.959348-6 4.109500+4 0.000000+03690 8454  111
 8.538763-5 4.249471-5 4.109500+4 1.000000+0 2.231235-5 1.110415-53690 8454  112
 4.109600+4 0.000000+0 6.217998-4 2.318187-4 4.109700+4 0.000000+03690 8454  113
 2.553199-3 6.070927-4 4.109700+4 1.000000+0 1.713000-4 4.073123-53690 8454  114
 4.109800+4 0.000000+0 4.249499-3 7.178584-4 4.109800+4 1.000000+03690 8454  115
